Gender,Height,Origin,Hand,Age,Aces,Double Faults,Breakpoints Won,Match Outcome
Men,180-184,POL,R,25-29,1-3,1-3,9-12,Winner
Men,185-189,ITA,R,20-,>6,1-3,1-4,Winner
Men,180-184,SWE,R,25-29,4-6,1-3,5-8,Winner
Men,180-184,IND,R,40+,1-3,4-6,>12,Winner
Men,185-189,ITA,R,30-34,>6,1-3,1-4,Winner
Men,185-189,POR,R,30-34,>6,4-6,1-4,Winner
Men,175-179,MDA,R,30-34,1-3,<=0,1-4,Winner
Men,190-194,GER,R,20-24,>6,1-3,5-8,Winner
Men,185-189,FIN,R,20-24,>6,1-3,1-4,Winner
Men,175-179,CZE,U,40+,1-3,1-3,1-4,Winner
Men,185-189,ESP,R,25-29,4-6,1-3,1-4,Winner
Men,190-194,FRA,R,25-29,4-6,1-3,1-4,Winner
Men,180-184,POL,R,25-29,>6,<=0,<=0,Winner
Men,185-189,AUS,R,25-29,>6,1-3,5-8,Winner
Men,180-184,NOR,R,20-24,>6,1-3,1-4,Winner
Men,180-184,NOR,R,20-24,1-3,1-3,1-4,Winner
Men,170-174,ARG,R,40+,<=0,1-3,9-12,Winner
Men,180-184,NOR,R,20-24,1-3,1-3,5-8,Winner
Men,190-194,ARG,L,30-34,4-6,4-6,5-8,Winner
Men,190-194,ITA,R,25-29,<=0,1-3,5-8,Winner
Men,170-174,ARG,R,40+,<=0,1-3,9-12,Winner
Men,180-184,NOR,R,20-24,4-6,1-3,1-4,Winner
Men,180-184,ARG,R,40+,1-3,1-3,5-8,Winner
Men,175-179,ITA,R,40+,4-6,1-3,9-12,Winner
Men,190-194,ARG,L,30-34,1-3,1-3,1-4,Winner
Men,185-189,ESP,L,35-39,4-6,1-3,9-12,Winner
Men,190-194,ITA,R,25-29,1-3,1-3,9-12,Winner
Men,185-189,ARG,R,20-24,4-6,1-3,5-8,Winner
Men,170-174,ARG,R,40+,1-3,1-3,1-4,Winner
Men,180-184,ESP,R,25-29,1-3,1-3,5-8,Winner
Men,180-184,ARG,R,40+,>6,4-6,1-4,Winner
Men,180-184,SRB,R,30-34,4-6,<=0,9-12,Winner
Men,185-189,ESP,R,40+,1-3,<=0,1-4,Winner
Men,180-184,ESP,R,35-39,1-3,1-3,1-4,Winner
Men,190-194,ARG,L,30-34,4-6,<=0,1-4,Winner
Men,180-184,BRA,L,25-29,4-6,1-3,5-8,Winner
Men,185-189,ESP,L,35-39,1-3,4-6,5-8,Winner
Men,170-174,ARG,R,20-24,1-3,1-3,5-8,Winner
Men,180-184,SRB,R,20-24,1-3,1-3,5-8,Winner
Men,185-189,ARG,R,20-24,1-3,<=0,5-8,Winner
Men,180-184,ESP,R,40+,4-6,<=0,1-4,Winner
Men,190-194,CAN,R,20-24,>6,<=0,<=0,Winner
Men,190-194,GRE,R,20-24,4-6,1-3,1-4,Winner
Men,190-194,CAN,R,20-24,>6,4-6,5-8,Winner
Men,190-194,GRE,R,20-24,4-6,<=0,1-4,Winner
Men,185-189,CZE,R,20-24,4-6,1-3,1-4,Winner
Men,190-194,CAN,R,20-24,>6,4-6,5-8,Winner
Men,185-189,RUS,R,40+,1-3,<=0,<=0,Winner
Men,190-194,GRE,R,20-24,>6,<=0,1-4,Winner
Men,180-184,AUS,R,20-24,4-6,1-3,5-8,Winner
